Time,Activity,Focus Area,Notes
"5:00 – 5:15 AM","Wake up, hydrate, stretch","Energy Boost","Splash cold water on face. No phone!"
"5:15 – 6:00 AM","IPMAT Study (Quant/VA/LR Timed Practice)","IPMAT Prep","Solve 20-25 questions. Track mistakes."
"6:00 – 6:30 AM","Shower, brush, dress","School Prep","Clothes/uniform prepped the night before."
"6:30 – 7:00 AM","Breakfast + 5-min GF voice note","Personal","No Instagram. Send voice note via WhatsApp."
"7:00 – 2:00 PM","School","Academics","Use breaks for homework/flashcards."
"2:00 – 2:30 PM","Lunch + 10-min walk","Mental Reset","No screens. Draft texts for GF."
"2:30 – 4:30 PM","Homework/Boards Prep","School Assignments","Active learning: mind maps, NCERT problems."
"4:30 – 5:00 PM","IPMAT Sprint (15 Quick Questions)","IPMAT Prep","Timed practice. Focus on weak areas."
"5:00 – 7:00 PM","Tuitions","School Topics","Note doubts to clarify later."
"7:00 – 7:30 PM","Dinner + family time","Personal","No screens."
"7:30 – 8:30 PM","Walk with friends","Social Recharge","Listen to IPMAT vocab podcasts."
"8:30 – 9:30 PM","GF Time (Voice/Video Call)","Relationship","Sync shows/movies. No multitasking."
"9:30 – 10:15 PM","IPMAT Mock Test + Analysis","IPMAT Prep","45-min test + 15-min review."
"10:15 – 10:30 PM","Boards Quick Revision","Boards Prep","Revise 1 topic (e.g., Chemistry equations)."
"10:30 – 11:00 PM","Wind Down (Prep for tomorrow, journal)","Sleep Prep","Lights out by 11:00 PM."
